USER	PID	%CPU	%MEM	VSZ	RSS	TTY	STAT	START	TIME	COMMAND	GENE
root	1736	0.0	0.0	0	0	?	S<	12月11	0:00	krfcommd	1
root	14060	0.0	0.0	0	0	?	I	12月11	0:00	kworker/0:0-events	1
root	14395	0.0	0.0	0	0	?	I	12月11	0:00	kworker/4:0-events	1
root	14396	0.0	0.0	0	0	?	I	12月11	0:01	kworker/4:3-events	1
root	14444	0.0	0.0	0	0	?	I	12月11	0:00	kworker/3:3-events	1
root	15660	0.0	0.0	0	0	?	I	12月11	0:01	kworker/0:4-events	1
root	15844	0.0	0.0	0	0	?	I	12月11	0:00	kworker/1:1-events	1
root	15896	0.0	0.0	0	0	?	I	12月11	0:00	kworker/2:1-mm_percpu_wq	1
root	16027	0.0	0.0	0	0	?	I	12月11	0:00	kworker/7:0-events	1
root	16028	0.0	0.0	0	0	?	I	12月11	0:00	kworker/7:3-events	1
root	16143	0.1	0.0	0	0	?	D	13:19	0:04	kworker/u16:38+events_unbound	1
root	16154	0.0	0.0	0	0	?	S	13:19	0:00	irq/129-mei_me	1
root	16155	0.0	0.0	0	0	?	S	13:19	0:00	irq/128-mmc0	1
root	16157	0.0	0.0	0	0	?	I<	13:19	0:00	kworker/u17:2-rb_allocator	1
root	17448	0.0	0.0	0	0	?	I	13:19	0:00	kworker/2:3-events	1
root	18454	0.0	0.0	0	0	?	I	13:24	0:00	kworker/6:2-events	1
root	19219	0.0	0.0	0	0	?	I	13:27	0:00	kworker/1:0-events	1
root	19343	0.0	0.0	0	0	?	I	13:27	0:00	kworker/3:1-events	1
root	20496	0.0	0.0	0	0	?	I	13:39	0:01	kworker/u16:1-i915	1
root	20661	0.2	0.0	0	0	?	I	13:40	0:04	kworker/6:1-events	1
root	21559	0.0	0.0	0	0	?	I	13:49	0:00	kworker/5:0-events	1
root	21911	0.1	0.0	0	0	?	I	13:58	0:01	kworker/u16:2-i915	1
root	22891	0.2	0.0	0	0	?	I	14:07	0:01	kworker/6:0-events	1
root	23262	0.3	0.0	0	0	?	I	14:11	0:00	kworker/u16:0-i915	1
root	23303	0.0	0.0	0	0	?	I	14:11	0:00	kworker/6:3	1
root	23388	0.0	0.0	0	0	?	I	14:13	0:00	kworker/1:2-events	1
root	23415	0.0	0.0	0	0	?	I	14:13	0:00	kworker/3:0	1
root	23500	0.0	0.0	0	0	?	I	14:13	0:00	kworker/5:1	1
root	1	0.0	0.0	168400	11952	?	Ss	12月11	0:12	/sbin/init splash	0
root	300	0.0	0.2	74540	40692	?	S<s	12月11	0:03	/lib/systemd/systemd-journald	0
root	334	0.0	0.0	24932	7904	?	Ss	12月11	0:01	/lib/systemd/systemd-udevd	0
systemd+	884	0.0	0.0	24676	13100	?	Ss	12月11	0:02	/lib/systemd/systemd-resolved	0
systemd+	886	0.0	0.0	91004	6128	?	Ssl	12月11	0:00	/lib/systemd/systemd-timesyncd	0
root	952	0.0	0.0	237236	8072	?	Ssl	12月11	0:00	/usr/lib/accountsservice/accounts-daemon	0
root	953	0.0	0.0	2672	1972	?	Ss	12月11	0:00	/usr/sbin/acpid	0
avahi	955	0.1	0.0	13776	9132	?	Ss	12月11	3:23	avahi-daemon: running [DJ00001-3.local	0
avahi	1014	0.0	0.0	8560	356	?	S	12月11	0:00	avahi-daemon: chroot helper	1
root	956	0.0	0.0	8420	4628	?	Ss	12月11	0:00	/usr/lib/bluetooth/bluetoothd	0
root	958	0.0	0.0	8068	3264	?	Ss	12月11	0:00	/usr/sbin/cron -f	0
root	959	0.0	0.0	28016	10328	?	Ss	12月11	0:01	/usr/sbin/cupsd -l	0
message+	961	0.0	0.0	10272	6824	?	Ss	12月11	0:08	/usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only	0
root	963	0.0	0.1	336776	23492	?	Ssl	12月11	0:05	/usr/sbin/NetworkManager --no-daemon	0
root	969	0.0	0.0	81896	3776	?	Ssl	12月11	0:00	/usr/sbin/irqbalance --foreground	0
root	971	0.0	0.1	38636	20828	?	Ss	12月11	0:00	/usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers	0
root	975	0.0	0.0	421604	868	?	Ssl	12月11	0:00	/usr/sbin/osspd -f --dsp-slave=/usr/lib/osspd/ossp-slave	0
root	978	0.0	0.0	235216	11156	?	Ssl	12月11	0:02	/usr/lib/policykit-1/polkitd --no-debug	0
syslog	996	0.0	0.0	224712	5688	?	Ssl	12月11	0:00	/usr/sbin/rsyslogd -n -iNONE	0
root	1004	0.0	0.2	1540360	47092	?	Ssl	12月11	0:04	/usr/lib/snapd/snapd	0
root	1006	0.0	0.0	234156	6088	?	Ssl	12月11	0:00	/usr/libexec/switcheroo-control	0
root	1007	0.0	0.0	17660	8628	?	Ss	12月11	0:00	/lib/systemd/systemd-logind	0
root	1008	0.0	0.0	124692	9320	?	Ssl	12月11	0:00	/usr/sbin/thermald --systemd --dbus-enable --adaptive	0
root	1009	0.0	0.0	394280	14108	?	Ssl	12月11	0:00	/usr/lib/udisks2/udisksd	0
root	1010	0.0	0.0	14664	10176	?	Ss	12月11	0:00	/sbin/wpa_supplicant -u -s -O /run/wpa_supplicant	0
root	1040	0.0	0.1	180128	16720	?	Ssl	12月11	0:05	/usr/sbin/cups-browsed	0
root	1059	0.0	0.0	315224	11664	?	Ssl	12月11	0:00	/usr/sbin/ModemManager	0
colord	1061	0.0	0.0	245256	15220	?	Ssl	12月11	0:00	/usr/libexec/colord	0
root	1081	0.0	0.0	12280	6820	?	Ss	12月11	0:00	sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups	0
root	1089	0.0	0.0	238308	8704	?	Ssl	12月11	0:00	/usr/sbin/gdm3	0
root	1659	0.0	0.0	313344	10396	?	Sl	12月11	0:00	gdm-session-worker [pam/gdm-password	1
denjo	1759	0.0	0.0	162608	6796	tty2	Ssl+	12月11	0:00	/usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu	2
denjo	1761	0.1	0.5	513852	88000	tty2	Sl+	12月11	2:47	/usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3	3
denjo	1774	0.0	0.0	186804	14004	tty2	Sl+	12月11	0:00	/usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu	3
denjo	1841	0.0	0.0	6032	448	?	Ss	12月11	0:00	/usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu	4
